四字熟語,よみがな,意味説明,構成タイプ
悪衣悪食,あくいあくしょく,粗末な衣服と粗末な食事。貧しく不自由な生活のたとえ,ア（同じような意味の重ね）
悪事千里,あくじせんり,悪い行いや噂は、またたく間に遠くまで知れ渡るということ,ウ（上の字が下の字を修飾）
悪因悪果,あくいんあっか,悪い行為をすれば、必ずそれに応じた悪い報いがあるということ,ア（同じような意味の重ね）
安住楽土,あんじゅうらくど,何一つ心配することなく、心穏やかに楽しく暮らせる土地,ア（同じような意味の重ね）
安心立命,あんしんりつめい,信仰や理性を得て心を落ち着け、何事にも動じないこと,ア（同じような意味の重ね）
暗雲低迷,あんうんていめい,黒い雲が低く垂れ込めるように、悪い事態が長く続くさま,ウ（上の字が下の字を修飾）
暗中模索,あんちゅうもさく,手がかりのない暗闇の中で、あれこれと手探りで試みること,ウ（上の字が下の字を修飾）
唯々諾々,いいだくだく,事の善悪を問わず、他人の言いなりになって従うさま,ア（同じような意味の重ね）
意気昂然,いきこうぜん,意気込みが非常に盛んで、誇らしげで堂々としているさま,エ（下の字が上の字を修飾）
意気消沈,いきしょうちん,元気がなくなり、気力がすっかり衰えてがっかりすること,エ（下の字が上の字を修飾）
意気自如,いきじじょ,物事に動じず、普段通り心を落ち着けてゆったりしているさま,エ（下の字が上の字を修飾）
意気投合,いきとうごう,お互いの気持ちや考え方が、ぴったりと一致すること,エ（下の字が上の字を修飾）
意気揚々,いきようよう,得意げで誇らしげに、威張ったり喜んだりして進むさま,エ（下の字が上の字を修飾）
異口同音,いくどうおん,多くの人が口をそろえて、まったく同じ意見を言うこと,イ（反対・対応の組み合わせ）
意思表示,いしひょうじ,自分の考えや希望を、外部に向けてはっきりと表すこと,ウ（上の字が下の字を修飾）
意思疎通,いしそつう,お互いの考えや気持ちが、滞りなく相手に伝わること,エ（下の字が上の字を修飾）
以心伝心,いしんでんしん,言葉を使わなくても、心から心へと気持ちが通じ合うこと,エ（下の字が上の字を修飾）
一意専心,いちいせんしん,他に心を動かされず、一つの事だけに心を集中させること,ア（同じような意味の重ね）
一衣帯水,いちいたいすい,一本の帯のように狭い川や海。二つの間の距離が非常に近いこと,ウ（上の字が下の字を修飾）
一期一会,いちごいちえ,一生に一度限りの大切な出会い。二度とない機会のこと,ウ（上の字が下の字を修飾）
一挙両得,いっきょりょうとく,一つの行動で、同時に二つの利益を得ること,ウ（上の字が下の字を修飾）
一喜一憂,いっきいちゆう,状況が変わるたびに、喜んだり心配したりして落ち着かないこと,イ（反対・対応の組み合わせ）
一気呵成,いっきかせい,一息に文章を書き上げたり、一気に仕事を仕上げたりすること,ウ（上の字が下の字を修飾）
一刻千金,いっこくせんきん,ほんのわずかな時間が、千金にも値するほど極めて貴重なこと,ウ（上の字が下の字を修飾）
一心不乱,いっしんふらん,一つの事に心を集中させ、他の事に一切心を乱されないこと,エ（下の字が上の字を修飾）
一長一短,いっちょういったん,良いところもあれば悪いところもあり、完全ではないこと,イ（反対・対応の組み合わせ）
一朝一夕,いっちょういっせき,ひと朝かひと晩。極めてわずかな時間のたとえ,ウ（上の字が下の字を修飾）
