漢字,音読み,訓読み
一,イチ・イツ,ひと・ひと（つ）
右,ウ・ユウ,みぎ
雨,ウ,あめ・あま
円,エン,まる（い）
王,オウ,-
音,オン・イン,おと・ね
下,カ・ゲ,した・しも・もと・さ（げる）・さ（がる）・くだ（る）・くだ（す）・くだ（さる）
火,カ,ひ
花,カ,はな
貝,バイ,かい
学,ガク,まな（ぶ）
気,キ・ケ,-
九,キュウ・ク,ここの・ここの（つ）
休,キュウ,やす（む）・やす（まる）・やす（める）
玉,ギョク,たま
金,キン・コン,かね・かな
空,クウ,そら・あ（く）・あ（ける）・から・す（く）・す（かせる）
月,ゲツ・ガツ,つき
犬,ケン,いぬ
見,ケン,み（る）・み（える）・み（せる）
口,コウ・ク,くち
校,コウ,-
左,サ,ひだり
三,サン,み・み（つ）・みっ（つ）
山,サン,やま
子,シ・ス,こ
糸,シ,いと
字,ジ,あざ
耳,ジ,みみ
七,シチ,なな・なな（つ）・とお
車,シャ,くるま
手,シュ,て・た
十,ジュウ・ジッ,とお・と
出,シュツ・スイ,で（る）・だ（す）
女,ジョ・ニョ,おんな・め
小,ショウ,ちい（さい）・こ・お
上,ジョウ・ショウ,うえ・うわ・かみ・あ（げる）・あ（がる）・のぼ（る）・のぼ（せる）・のぼ（す）
森,シン,もり
人,ジン・ニン,ひと
水,スイ,みず
正,セイ・ショウ,ただ（しい）・ただ（す）・まさ
生,セイ・ショウ,い（きる）・い（かす）・い（ける）・う（まれる）・う（む）・お（う）・は（える）・は（やす）・き・なま
青,セイ・ショウ,あお・あお（い）
夕,セキ,ゆう
石,セキ・シャク・コク,いし
赤,セキ・シャク,あか・あか（い）・あか（らむ）・あか（らめる）
千,セン,ち
川,セン,かわ
先,セン,さき
早,ソウ,はや（い）・はや（まる）・はや（める）
足,ソク,あし・た（る）・た（る・る）・た（す）
村,ソン,むら
大,ダイ・タイ,おお・おお（きい）・おお（いに）
男,ダン・ナン,おとこ
竹,チク,たけ
中,チュウ,なか
虫,チュウ,むし
町,チョウ,まち
天,テン,あめ・あま
田,デン,た
土,ド・ト,つち
二,ニ,ふた・ふた（つ）
日,ニチ・ジツ,ひ・か
入,ニュウ,い（る）・い（れる）・はい（る）
年,ネン,とし
白,ハク・ビャク,しろ・しろ（い）・しら
八,ハチ,や・や（つ）・やっ（つ）・よう
百,ヒャク,-
文,ブン・モン,ふみ
木,ボク・モク,き・こ
本,ホン,もと
名,メイ・ミョウ,な
目,モク・ボク,め・ま
立,リツ・リュウ,た（つ）・た（てる）
力,リョク・リキ,ちから
林,リン,はやし
六,ロク,む・む（つ）・むっ（つ）・むい
引,イン,ひ（く）・ひ（ける）
羽,ウ,は・はね
雲,ウン,くも
園,エン,その
遠,エン・オン,とお（い）
何,カ,なに・なん
科,カ,-
夏,カ・ゲ,なつ
家,カ・ケ,いえ・や
